artist,album,track,listen_date,genre
Christina Perri,Lovestrong.,Arms,"01 Jan 2019, 00:23","female vocalists,pop,singer-songwriter,indie,rock,american,indie pop,soul,christina perri,female vocalist"
Queen,News Of The World (Deluxe Remastered Version),We Are The Champions - Remastered 2011,"31 Dec 2018, 23:18","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Deer Tick,Born On Flag Day,Smith Hill,"31 Dec 2018, 23:18","folk,Alt-country,indie,seen live,singer-songwriter,americana,indie folk,Recommended,kickasstic,pay attention"
Glee Cast,"Glee: The Music, Volume 3 Showstoppers",I Dreamed a Dream (Glee Cast Version featuring Idina Menzel),"31 Dec 2018, 22:14","musical,Soundtrack,glee,cover,Glee Cast,pop,american,female vocalists,male vocalists,rock"
Florence + the Machine,Songs From Final Fantasy XV,Stand By Me,"31 Dec 2018, 22:10","indie,female vocalists,alternative,british,indie pop,seen live,pop,indie rock,singer-songwriter,folk"
Mumford & Sons,Wilder Mind,The Wolf,"31 Dec 2018, 22:10","folk,indie,british,acoustic,seen live,bluegrass,indie folk,folk rock,alternative,rock"
Taylor Swift,Speak Now (Deluxe Edition),Mean,"31 Dec 2018, 22:05","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
Say Anything,Is A Real Boy,Every Man Has a Molly,"31 Dec 2018, 22:02","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister","31 Dec 2018, 21:46","rock,alternative rock,alternative,pop,indie,pop rock,seen live,train,american,90s"
Bowling for Soup,A Hangover You Don't Deserve,1985,"31 Dec 2018, 21:42","pop punk,punk rock,rock,punk,alternative,seen live,Pop-punk,alternative rock,emo,american"
Jimmy Eat World,Bleed American (Deluxe Edition),The Middle,"31 Dec 2018, 21:38","rock,alternative,emo,alternative rock,seen live,indie,indie rock,punk,pop punk,punk rock"
blink-182,Enema of the State,All the Small Things,"31 Dec 2018, 21:36","punk rock,pop punk,punk,rock,alternative,seen live,Pop-punk,alternative rock,emo,american"
Fountains of Wayne,Welcome Interstate Managers,Stacy's Mom,"31 Dec 2018, 21:30","power pop,rock,alternative,indie,pop,indie rock,seen live,alternative rock,indie pop,pop rock"
Camp Cope,CAMP COPE,Jet Fuel Can't Melt Steel Beams,"31 Dec 2018, 21:29","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,CAMP COPE,Lost (Season One),"31 Dec 2018, 19:17","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,CAMP COPE,West Side Story,"31 Dec 2018, 19:12","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,CAMP COPE,Flesh And Electricity,"31 Dec 2018, 19:08","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Camp Cope,CAMP COPE,Done,"31 Dec 2018, 19:03","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Japanese Breakfast,Soft Sounds From Another Planet,Road Head,"31 Dec 2018, 15:13","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Sorority Noise,You're Not As _____ As You Think,No Halo,"31 Dec 2018, 05:31","emo,indie rock,punk,indie,seen live,rock,alternative rock,connecticut,Dope,indie punk"
Mitski,Bury Me at Makeout Creek,Francis Forever,"31 Dec 2018, 05:29","seen live,indie rock,indie,dream pop,indie pop,female vocalists,rock,singer-songwriter,Garage Rock,art pop"
Japanese Breakfast,Psychopomp,In Heaven,"31 Dec 2018, 05:11","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Camp Cope,CAMP COPE,Flesh And Electricity,"29 Dec 2018, 20:45","indie,seen live,rock,indie rock,australia,punk,emo,australian,alternative rock,female vocalists"
Queen,Jazz,Fat Bottomed Girls,"29 Dec 2018, 20:44","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,A Day At The Races (Deluxe Remastered Version),Somebody To Love - Remastered 2011,"29 Dec 2018, 19:49","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,A Night at the Opera,Love Of My Life - Remastered 2011,"29 Dec 2018, 19:45","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,The Game (Deluxe Remastered Version),Crazy Little Thing Called Love - Remastered 2011,"29 Dec 2018, 19:43","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,Jazz (Deluxe Remastered Version),Don't Stop Me Now - Remastered,"29 Dec 2018, 19:39","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,A Day at the Races,Tie Your Mother Down - Remastered 2011,"29 Dec 2018, 19:35","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,The Game,Save Me,"29 Dec 2018, 19:31","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,The Game,Save Me,"29 Dec 2018, 19:25","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,The Game (Deluxe Remastered Version),Crazy Little Thing Called Love - Remastered 2011,"29 Dec 2018, 17:59","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,A Night at the Opera,Love Of My Life - Remastered 2011,"29 Dec 2018, 17:55","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,The Works,Hammer to Fall,"29 Dec 2018, 17:50","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,Jazz,Fat Bottomed Girls,"29 Dec 2018, 17:46","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,Hot Space (Deluxe Remastered Version),Under Pressure - Remastered,"29 Dec 2018, 16:59","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
Queen,Jazz (Deluxe Remastered Version),Don't Stop Me Now - Remastered,"29 Dec 2018, 16:55","classic rock,rock,80s,hard rock,glam rock,british,Queen,70s,pop,Progressive rock"
The 1975,A Brief Inquiry Into Online Relationships,Give Yourself A Try,"29 Dec 2018, 16:52","indie,indie rock,seen live,british,alternative,Manchester,rock,alternative rock,indie pop,pop"
The 1975,A Brief Inquiry Into Online Relationships,The 1975,"29 Dec 2018, 16:51","indie,indie rock,seen live,british,alternative,Manchester,rock,alternative rock,indie pop,pop"
The National,Sleep Well Beast,Carin at the Liquor Store,"28 Dec 2018, 22:34","seen live,indie rock,indie,alternative,rock,alternative rock,post-punk,american,Alt-country,Post-punk revival"
Death Cab for Cutie,Kintsugi,No Room In Frame,"28 Dec 2018, 22:34","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Julien Baker,Sprained Ankle,Sprained Ankle,"28 Dec 2018, 21:50","indie,singer-songwriter,seen live,folk,acoustic,indie folk,female vocalists,alternative rock,emo,slowcore"
Pinegrove,Cardinal,Old Friends,"28 Dec 2018, 21:34","seen live,indie,indie rock,Alt-country,emo,new jersey,midwest emo,americana,under 2000 listeners,Montclair"
Japanese Breakfast,Soft Sounds From Another Planet,This House,"28 Dec 2018, 18:16","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
My Chemical Romance,The Black Parade,Famous Last Words,"27 Dec 2018, 21:11","rock,emo,alternative,punk rock,punk,seen live,alternative rock,screamo,my chemical romance,pop punk"
Elvis Presley,Blue Hawaii,Can't Help Falling in Love,"27 Dec 2018, 19:13","rock n roll,classic rock,rock,oldies,Rock and Roll,rockabilly,50s,60s,pop,american"
Fall Out Boy,From Under the Cork Tree,"Sugar, We're Goin Down","27 Dec 2018, 18:20","pop punk,rock,emo,alternative,punk,seen live,punk rock,alternative rock,indie,Fall Out Boy"
Mitski,Bury Me at Makeout Creek,Francis Forever,"27 Dec 2018, 18:18","seen live,indie rock,indie,dream pop,indie pop,female vocalists,rock,singer-songwriter,Garage Rock,art pop"
Japanese Breakfast,Psychopomp,In Heaven,"27 Dec 2018, 18:14","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Fall Out Boy,From Under the Cork Tree,"Sugar, We're Goin Down","27 Dec 2018, 16:20","pop punk,rock,emo,alternative,punk,seen live,punk rock,alternative rock,indie,Fall Out Boy"
Mom Jeans.,Best Buds,Poor Boxer Shorts,"27 Dec 2018, 16:16","emo,midwest emo,indie,punk,sparklepunk,indie rock,pop punk,twinkly,seen live,math rock"
Fall Out Boy,From Under the Cork Tree,Of All the Gin Joints in All the World,"27 Dec 2018, 16:13","pop punk,rock,emo,alternative,punk,seen live,punk rock,alternative rock,indie,Fall Out Boy"
